year,strategy,pair,trades,wins,losses,win_rate_pct,net_usdt,total_return_pct,average_trade_pct,profit_factor,expectancy_usdt,average_duration_hours,maximum_consecutive_losses,closed_trade_drawdown_pct,top5_net_usdt,top10_net_usdt,top5_gross_profit_share,top10_gross_profit_share,top5_net_share,top10_net_share
2022,V2CompressionBreakoutHi,BTC/USDT,8,2,6,25.0,-0.7921489200000003,-0.07921489200000002,-0.09862871312852542,0.921084170269317,-0.09901861500000003,11.0,3,0.6002884669999957,6.484287449999998,-0.7921489200000007,0.7013264738280586,-0.08567710995142658,,
2022,V2CompressionBreakoutHi,ETH/USDT,8,1,7,12.5,-6.30859355,-0.630859355,-0.7883526364087355,0.48739326729915156,-0.78857419375,10.75,5,0.8093888688979709,1.8272795699999993,-6.308593550000001,0.30463319917219256,-1.051731255011821,,
2022,V2RegimeAdaptiveLo,BTC/USDT,17,7,10,41.17647058823529,-3.6650079899999994,-0.36650079899999993,-0.2159479548308975,0.6140829371003901,-0.2155887052941176,7.647058823529411,4,0.5883138584881903,5.17026406,5.10004374,0.8865530926468963,0.8745123068881406,,
2022,V2RegimeAdaptiveLo,ETH/USDT,12,9,3,75.0,8.10085521,0.8100855210000001,0.6751950776746796,2.455283221087212,0.6750712675,8.166666666666666,1,0.3375085575735575,10.918811570000003,12.48505132,0.798896332631961,0.9134933457112331,1.3478591194324039,1.5412016381416105
2022,V2RegimeAdaptiveHi,BTC/USDT,17,7,10,41.17647058823529,-3.6650079899999994,-0.36650079899999993,-0.2159479548308975,0.6140829371003901,-0.2155887052941176,7.647058823529411,4,0.5883138584881903,5.17026406,5.10004374,0.8865530926468963,0.8745123068881406,,
2022,V2RegimeAdaptiveHi,ETH/USDT,12,9,3,75.0,8.10085521,0.8100855210000001,0.6751950776746796,2.455283221087212,0.6750712675,8.166666666666666,1,0.3375085575735575,10.918811570000003,12.48505132,0.798896332631961,0.9134933457112331,1.3478591194324039,1.5412016381416105
2022,LabBaseline,BTC/USDT,106,27,79,25.471698113207548,-55.128481910000005,-5.512848191000001,-0.5202375365397097,0.6362486394152476,-0.5200800180188679,26.40566037735849,20,6.047764530712695,25.012575679999998,50.00759364000001,0.2593941289414194,0.5186061746962106,,
2022,LabBaseline,ETH/USDT,107,37,70,34.57943925233645,-43.26032783,-4.3260327830000005,-0.40486975941436304,0.7637260426156245,-0.40430212925233644,22.97196261682243,12,6.030111740200177,25.02108696,50.03599598,0.17893472138875452,0.3578252621240297,,
2022,AlphaBreakout,BTC/USDT,43,22,21,51.162790697674424,37.73422136999999,3.7734221369999994,0.8779602409013759,1.9883754353880354,0.8775400318604649,27.58139534883721,4,0.8106277755217489,25.01476439,50.01135611,0.3295221235495093,0.6588048566048449,0.6629198505176418,1.3253581045072458
2022,AlphaBreakout,ETH/USDT,52,22,30,42.30769230769231,2.48283284,0.248283284,0.0472039775907026,1.0313688530560283,0.04774678538461538,22.71153846153846,7,1.953988760991552,25.01861857,50.02299789999999,0.30647882430550194,0.6127832174959527,10.076642360667343,20.14754964333402
